Drogon.A1ModJulian,Drogon.EarthMJ2000Eq.X,Drogon.EarthMJ2000Eq.Y,Drogon.EarthMJ2000Eq.Z,Drogon.EarthMJ2000Eq.VX,Drogon.EarthMJ2000Eq.VY,Drogon.EarthMJ2000Eq.VZ
21545.28877653103,-5775.590907,2696.211481233382,2532.972413614895,-4.109941706,-4.488544377,-4.599779808
21545.28984983693,-6125.37649,2266.392222504668,2093.68737483092,-3.427207799,-4.773236532,-4.865945311
21545.29092285858,-6410.02572,1812.62042131598,1632.223857133754,-2.708012077,-5.00726069,-5.08031142
21545.29199563101,-6626.553202,1339.70914670915,1153.489343122441,-1.960021158,-5.188128486,-5.240593041
21545.2930682169,-6772.697423,852.658006495132,662.5585019703857,-1.191194005,-5.313922104,-5.345086722
21545.29414066938,-6846.933954,356.6167098470282,164.6361004986969,-0.409720833,-5.383307999,-5.392682779
21545.2952130556,-6848.493659,-143.1790871,-335.0079374,0.3760825461793302,-5.395554454,-5.382879989
21545.29628543276,-6777.368186,-641.4511188,-831.0823131,1.157847937861639,-5.35053782,-5.315789809
21545.2973578644,-6634.310458,-1132.940734,-1318.336875,1.927257717277495,-5.24874426,-5.192135231
21545.29843041667,-6420.825295,-1612.461493,-1791.615236,2.676132188641383,-5.091262598,-5.013241116
21545.29950315283,-6139.15429,-2074.950111,-2245.905573,3.396513607546456,-4.879771732,-4.781019151
21545.3005761277,-5792.255197,-2515.516542,-2676.3904,4.080747770143394,-4.616523012,-4.497947785
21545.30164937799,-5383.777446,-2929.49166,-3078.493814,4.721560563506449,-4.304319028,-4.167048689
21545.30272294009,-4918.020665,-3312.484075,-3447.937386,5.312147136990135,-3.946478994,-3.791849384
21545.30379684768,-4399.890716,-3660.425076,-3780.784073,5.846240964242178,-3.546801967,-3.376344244
21545.30487110401,-3834.864042,-3969.603796,-4073.472587,6.318166472569799,-3.109536697,-2.924962575
21545.30594570327,-3228.923693,-4236.716506,-4322.865045,6.722912088453293,-2.639330081,-2.44251465
21545.30702065035,-2588.485019,-4458.906977,-4526.285347,7.056188146593507,-2.141168054,-1.934130581
21545.30809592605,-1920.348029,-4633.789329,-4681.540805,7.31445750272476,-1.620337938,-1.405221422
21545.30917149547,-1231.622468,-4759.47934,-4786.951387,7.494978641459397,-1.082370444,-0.861419536
21545.31024731497,-529.6481517,-4834.618469,-4841.371511,7.595837528011685,-0.53297869,-0.30851627
21545.31132334809,178.0945266296924,-4858.390488,-4844.204109,7.615968214906614,0.02200989254429608,0.2476071715049532
21545.31239955804,884.0605349836939,-4830.528916,-4795.40586,7.55516024797014,0.5767106196435207,0.8010374289692999
21545.31347587343,1580.699479562002,-4751.323353,-4695.49177,7.414065798141265,1.125225219278986,1.345873272422094
21545.31455227403,2260.593140237764,-4621.612259,-4545.523841,7.194184762849347,1.661747111743702,1.876330908255741
21545.31562868753,2916.469703669857,-4442.781654,-4347.10928,6.897863220513749,2.180569941387467,2.386752831221009
21545.31670508274,3541.341709046583,-4216.740375,-4102.371542,6.528253051736516,2.676194114131965,2.871713601285095
21545.31778142009,4128.549912917669,-3945.904108,-3813.932922,6.089288287722052,3.143359869186528,3.326052562705364
21545.31885767199,4671.846688081808,-3633.164939,-3484.881442,5.585638188090458,3.577112394786258,3.744937913875666
21545.31993381152,5165.456205429259,-3281.861978,-3118.739486,5.022662636656706,3.972849430699232,4.123913287539416
21545.32100983279,5604.144491126252,-2895.737836,-2719.417951,4.406344862996078,4.326377659171494,4.458952406667594
21545.32208572139,5983.260601887168,-2478.907343,-2291.183496,3.743243533811934,4.633946745731368,4.74649192397217
21545.32316149706,6298.800209535764,-2035.79678,-1838.595602,3.040397312134728,4.892302128267533,4.983481538008481
21545.32423717129,6547.429571553545,-1571.111859,-1366.473563,2.305274602488915,5.098706291277881,5.167403908358025
21545.32531275743,6726.524752768588,-1089.784471,-879.8417717,1.545688702521239,5.250972573656023,5.296306021187444
21545.32638828274,6834.199713115389,-596.9148711,-383.870769,0.7697052217318243,5.347490201740444,5.368821489584743
21545.32746376699,6869.321605135629,-97.72743921,116.1677466781587,-0.01442961,5.387238621718661,5.38418275034488
21545.32853925801,6831.522737397499,402.5005608077906,614.9728030911241,-0.7984034,5.369799399357919,5.342229456566959
21545.32961477753,6721.202263505446,898.4690289163669,1107.244548005849,-1.573887403,5.295358489596349,5.243409205486968
21545.33069035916,6539.522970479782,1384.927934304162,1587.757325656464,-2.332653394,5.16470512008827,5.088772748169615
21545.33176603698,6288.398092974127,1856.726647057186,2051.408874532051,-3.066652969,4.979221725633749,4.879961372073608
21545.33284182588,5970.47748334596,2308.859380374967,2493.265610999246,-3.768090135,4.74087283458517,4.619193411903582
21545.33391774491,5589.116559239356,2736.528372761031,2908.625091373951,-4.429520535,4.452180582174397,4.309236495811082
21545.33499380961,5148.342999039884,3135.19092715286,3293.062251907245,-5.043924381,4.116197958299804,3.95337831215366
21545.33607002348,4652.819463413066,3500.604591331409,3642.473648275668,-5.60477547,3.736478995690907,3.555394403326417
21545.33714635767,4107.808029798083,3828.867793035745,3953.117189628159,-6.106102258,3.317050500030938,3.119517721592003
21545.33822280901,3519.088222045872,4116.481389446745,4221.671267414407,-6.542579908,2.862348392249723,2.65037173473823
21545.33929935921,2892.914678908885,4360.37252192828,4445.257444101579,-6.909563754,2.37718485701821,2.152936204884123
21545.34037597311,2235.954362608633,4557.929928480845,4621.473912058717,-7.203140093,1.866700445252778,1.632497326714442
21545.3414526052,1555.213174648417,4707.036291589249,4748.425613520556,-7.420172248,1.336308532292325,1.0945903372761
21545.34252920002,857.9610449206033,4806.093475548253,4824.747165749786,-7.55833594,0.7916390790852297,0.5449417478535613
21545.34360571557,151.6381255055367,4854.042731372077,4849.620099654643,-7.616147108,0.2384679813561601,-0.010602624
21545.3446821036,-556.2134213,4850.373610603159,4822.779601715887,-7.592973648,-0.317333438,-0.566128949
21545.34575830419,-1258.027534,4795.131532728946,4744.519549672887,-7.489045931,-0.869856623,-1.11571435
21545.3468342734,-1946.314748,4688.916877774755,4615.68829821309,-7.305454617,-1.413231936,-1.653503406
21545.34790998143,-2613.741632,4532.875227775845,4437.676260639373,-7.044136137,-1.941688907,-2.173768354
21545.34898537145,-3253.184689,4328.690770815298,4212.407457334211,-6.707864612,-2.449596987,-2.670949959
21545.35006042569,-3857.847903,4078.557419297952,3942.306644970131,-6.300207748,-2.931557697,-3.139748629
21545.35113510654,-4421.300426,3785.164322005676,3630.283434730749,-5.825507487,-3.382434569,-3.575154063
21545.35220941933,-4937.57915,3451.650236646367,3279.683097807623,-5.288809935,-3.79743587,-3.972526012
21545.35328336601,-5401.2246,3081.578898676585,2894.260541263109,-4.695829324,-4.17214523,-4.327623997
21545.35435696624,-5807.347579,2678.893586586139,2478.132440109327,-4.052877617,-4.502577743,-4.636661354
21545.35543023635,-6151.670437,2247.881473114103,2035.73997398673,-3.366808937,-4.785216391,-4.896340031
21545.35650322835,-6430.582529,1793.111744434829,1571.784846570821,-2.644921081,-5.017060634,-5.103896081
21545.35757597678,-6641.158624,1319.407839796928,1091.200638411668,-1.894910197,-5.195644916,-5.257116806
21545.35864853374,-6781.198605,831.7823094407977,599.0860667869404,-1.124764874,-5.319074685,-5.354373332
21545.35972096085,-6849.244504,335.3869847250979,100.6543046632758,-0.342683727,-5.386043621,-5.394635139
21545.3607933285,-6844.592383,-164.5405129,-398.8211891,0.4430134805008412,-5.395846182,-5.37747963
21545.36186569757,-6767.298406,-662.7224523,-894.0528391,1.22396278998422,-5.348384478,-5.303096404
21545.36293813673,-6618.178243,-1153.903514,-1379.801725,1.991859415975445,-5.244169404,-5.172284828
21545.36401070411,-6398.800098,-1632.896666,-1850.923496,2.73853449624862,-5.084315365,-4.98644608
21545.36508346052,-6111.467601,-2094.642922,-2302.427805,3.45605273158446,-4.870526547,-4.747565954
21545.36615645717,-5759.199149,-2534.258431,-2729.524953,4.136789042426937,-4.605079364,-4.458194534
21545.3672297396,-5345.697506,-2947.087356,-3127.677955,4.773512833530454,-4.290796924,-4.121417578
21545.36830334345,-4875.314542,-3328.749303,-3492.648994,5.359462223913257,-3.931019317,-3.74082402
21545.36937728454,-4353.013159,-3675.183181,-3820.542177,5.888411217344941,-3.529571675,-3.320471457
21545.37045157268,-3784.311914,-3982.696618,-4107.851223,6.354743830297208,-3.090719084,-2.864838205
21545.37152621288,-3175.227046,-4248.006062,-4351.497713,6.753512428453113,-2.619119808,-2.378774163
21545.37260120065,-2532.21242,-4468.271326,-4548.863699,7.080486502429522,-2.119777496,-1.867450982
21545.37367651614,-1862.096244,-4641.126637,-4697.820655,7.332195410667631,-1.597991616,-1.336310637
21545.37475211405,-1172.016555,-4764.708165,-4796.754847,7.505965527595238,-1.059307765,-0.791014051
21545.37582796928,-469.3161989,-4837.681874,-4844.591539,7.599957003678233,-0.50943704,-0.237358748
21545.37690402799,238.5049875734172,-4859.253246,-4840.803072,7.613174411722519,0.04577939390124029,0.3187573506605599
21545.37798024517,943.8953831217482,-4829.180742,-4785.418601,7.545482489926551,0.6004501414976645,0.8714167495149828
21545.37905657748,1639.32882227109,-4747.777064,-4679.02258,7.397604629119582,1.148691450330051,1.414740617327096
21545.38013297011,2317.377753685199,-4615.907391,-4522.750339,7.17111786937155,1.684681890269065,1.942943690806972
21545.38120937806,2970.807689208226,-4434.978729,-4318.273967,6.868434388999344,2.202734170312743,2.450405835640043
21545.38228576376,3592.653340927246,-4206.923152,-4067.782707,6.492774871765386,2.697353151533406,2.93172948201368
21545.38336208593,4176.287143685502,-3934.178566,-3773.961112,6.048138851730002,3.163288530939508,3.381791597230372
21545.38443831479,4715.49915360468,-3619.658548,-3439.955834,5.539257964020327,3.59559745468114,3.795804948111897
21545.38551443416,5204.562816372829,-3266.718162,-3069.338872,4.971543331773669,3.989696884933082,4.169368863679113
21545.38659043835,5638.292255069349,-2879.116952,-2666.068278,4.351028487518547,4.341410085130264,4.498513914973278
21545.38766631378,6012.08922250309,-2460.984784,-2234.452061,3.684316513588778,4.647005498324336,4.779739105046376
21545.38874206551,6322.001556040939,-2016.767643,-1779.091614,2.978494652473461,4.903245670940723,5.010057878212136
21545.38981771346,6564.759146036879,-1551.179908,-1304.832423,2.241058840871379,5.107418580974382,5.187026843179391
21545.39089327125,6737.801234472891,-1069.162904,-816.7213499,1.479847447962433,5.25736200700147,5.308767836886985
21545.39196877142,6839.307065280917,-575.821664,-319.9420122,0.7029398960749929,5.351490992725066,5.373991744431848
21545.39304425128,6868.208850752399,-76.37712492,180.2337792725764,-0.081420693,5.38881062808782,5.382008474696325
21545.39411973107,6824.202925793153,423.878163378356,678.4909959394523,-0.864899726,5.368926816530641,5.332735079114664
21545.39519524376,6707.754393315747,919.6491320038615,1169.540921333897,-1.639182299,5.292052091697124,5.226697420679498
21545.3962708364,6520.087592396847,1405.69387996337,1648.176747446349,-2.396062801,5.158999326474758,5.065020486664819
21545.39734651929,6263.182416881102,1876.855343465719,2109.305386891683,-3.127496652,4.971178789738598,4.849423444026473
21545.39842232954,5939.744048139491,2328.143928386942,2548.029203973177,-3.825730578,4.730575396011195,4.582191874649665
21545.39949827381,5553.188549851364,2754.764975448431,2959.673204508043,-4.48334602,4.43973651102847,4.266163811472802
21545.40057436223,5107.6006718733,3152.184568391477,3339.84947739678,-5.093360956,4.101738985886249,3.90469274346952
21545.40165059037,4607.698494460659,3516.17090168266,3684.497453226195,-5.649292684,3.720160969515999,3.501616842009237
21545.40272695874,4058.776581743815,3842.846767432073,3989.93443443516,-6.145236562,3.299037515865396,3.061211326128003
21545.40380344576,3466.664148808688,4128.722910764322,4252.887555480584,-6.575914537,2.842827924579002,2.588153687320293
21545.40488002315,2837.65804437081,4370.74238278603,4470.535743305291,-6.93673977,2.356364294485429,2.087469466736548
21545.40595664789,2178.461343294279,4566.313308563712,4640.540283269319,-7.223863147,1.84480486841547,1.564483488526073
21545.40703327876,1496.102310032684,4713.341862510309,4761.074801319974,-7.434219763,1.313572715612606,1.024756393890358
21545.40810988011,797.8557587232143,4810.254718134517,4830.844778331309,-7.565559511,0.7682966456850002,0.4740239968778046
21545.40918639874,91.1796302278679,4856.014299903512,4849.100422753656,-7.616467666,0.2147643785347158,-0.081850725
21545.41026279131,-616.3831906,4850.133480395999,4815.647600361878,-7.586384592,-0.341151266,-0.636952616
21545.41133898293,-1317.259885,4792.681881825457,4730.852010436392,-7.475614697,-0.893532445,-1.185355165
21545.41241492571,-2003.968866,4684.285532254243,4595.634099454535,-7.28532416,-1.436508708,-1.721213262
21545.41349059227,-2669.195982,4526.114980541935,4411.454143479063,-7.017522902,-1.964314912,-2.238820808
21545.41456595038,-3305.856807,4319.873635297747,4180.2980631976,-6.67504812,-2.471338841,-2.732658073
21545.41564095686,-3907.170565,4067.782309957022,3904.658957082377,-6.261542026,-2.952178911,-3.197448906
21545.41671560722,-4466.760805,3772.543020715294,3587.496805164141,-5.781396373,-3.40172449,-3.628239231
21545.41778988952,-4978.695773,3437.317723228156,3232.215441736171,-5.239721945,-3.81518929,-4.020429558
21545.41886380456,-5437.562026,3065.688702255868,2842.619853921552,-4.642287645,-4.188172341,-4.369833844
21545.41993737831,-5838.523846,2661.61338249705,2422.868434748046,-3.995450265,-4.51670872,-4.672727706
21545.42101061995,-6177.355908,2229.396234193202,1977.443359546216,-3.306110722,-4.797299192,-4.92587655
21545.42208357891,-6450.505976,1773.620450900973,1511.079546956974,-2.581604831,-5.026965041,-5.126586252
21545.42315631203,-6655.114878,1299.110298103138,1028.725954252835,-1.829642168,-5.203268273,-5.272721059
21545.42422884746,-6789.040577,810.8970987891486,535.5103336486756,-1.05824924,-5.32433462,-5.362724459
21545.42530126749,-6850.892109,314.1293670173299,36.64777290251069,-0.275623472,-5.388885562,-5.39564541
21545.42637363397,-6840.029026,-185.9476291,-462.5800095,0.5099034562472158,-5.396240211,-5.371138796
21545.42744600811,-6756.572512,-684.0547777,-956.8882792,1.289969840095621,-5.346326848,-5.28947278
21545.42851844901,-6601.404346,-1174.933198,-1441.043584,2.056273997233732,-5.239683667,-5.151525874
21545.42959103141,-6376.153819,-1653.406584,-1909.925818,2.800676589849028,-5.077449351,-4.958773299
21545.43066380902,-6083.186716,-2114.417984,-2358.564823,3.515262151673817,-4.861353619,-4.713274943
21545.43173683594,-5725.579293,-2553.092162,-2782.201928,4.192439329727109,-4.593696116,-4.417650027
21545.43281014937,-5307.093132,-2964.779513,-3176.33308,4.825010932609655,-4.277324949,-4.075052621
21545.43388378018,-4832.135375,-3345.110019,-3536.761396,5.406257926312965,-3.91560386,-3.689135169
