Viserion.A1ModJulian,Viserion.EarthMJ2000Eq.X,Viserion.EarthMJ2000Eq.Y,Viserion.EarthMJ2000Eq.Z,Viserion.EarthMJ2000Eq.VX,Viserion.EarthMJ2000Eq.VY,Viserion.EarthMJ2000Eq.VZ
21545.69032907198,2882.795818077842,6054.332614936484,-1453.725016,-4.120079393,0.4240572744059693,-6.404102548
21545.69140116748,2486.567956262938,6061.489536105159,-2038.162732,-4.427501624,-0.269629925,-6.203616281
21545.6924733831,2063.967403370789,6004.467167031476,-2601.025168,-4.687980583,-0.960298008,-5.937320918
21545.69354573654,1619.461879343967,5883.87021775657,-3136.346785,-4.898761865,-1.640592641,-5.60808781
21545.69461827608,1157.736851240847,5700.970661250059,-3638.469642,-5.057633896,-2.303304533,-5.219447875
21545.6956909999,683.6797176722124,5457.704895342511,-4102.064137,-5.162935029,-2.941397348,-4.775575633
21545.69676395116,202.2875630850795,5156.636638733439,-4522.229114,-5.21358181,-3.548140687,-4.281205724
21545.69783712362,-281.3441315,4800.950462937365,-4894.502568,-5.209067232,-4.117124135,-3.741616918
21545.69891053226,-762.1063035,4394.401028621789,-5214.938077,-5.149468127,-4.642363709,-3.162542922
21545.69998418389,-1234.916725,3941.280626531355,-5480.13359,-5.035438081,-5.118343801,-2.550122395
21545.70105807352,-1694.771614,3446.377009135745,-5687.267422,-4.868199106,-5.540070191,-1.910836765
21545.70213217844,-2136.79613,2914.927881285996,-5834.129443,-4.649529695,-5.903118001,-1.251447476
21545.70320650931,-2556.316349,2352.540775799993,-5919.15115,-4.381734103,-6.203690542,-0.578895589
21545.70428104586,-2948.881387,1765.165774058209,-5941.412467,-4.067630034,-6.438632198,0.09972869544316357
21545.70535577362,-3310.325377,1159.015956416793,-5900.657677,-3.710513266,-6.605471561,0.777278531266522
21545.70643066847,-3636.805805,540.5109847391751,-5797.298501,-3.314129589,-6.702442284,1.446611379364265
21545.70750571188,-3924.849436,-83.7984568,-5632.410253,-2.882633506,-6.728503944,2.10066927025901
21545.70858088184,-4171.386309,-707.2941548,-5407.721862,-2.420551163,-6.683352845,2.732543474170701
21545.70965616301,-4373.785069,-1323.365678,-5125.596733,-1.932732345,-6.56742758,3.33555017808176
21545.71073154076,-4529.879469,-1925.476476,-4789.009312,-1.424305403,-6.381907494,3.9032952198394
21545.71180699693,-4637.991837,-2507.230683,-4401.516517,-0.900628787,-6.128706222,4.429739118778905
21545.71288251946,-4696.953232,-3062.446516,-3967.218146,-0.367232596,-5.810455039,4.9092670923356
21545.71395810025,-4706.115921,-3585.220879,-3490.714277,0.1702374532599821,-5.430479616,5.336749309044764
21545.71503372206,-4665.361608,-4069.986737,-2977.063224,0.7060727734533828,-4.992774542,5.707594223944578
21545.71610939998,-4575.101799,-4511.591599,-2431.708226,1.234583697122207,-4.501947493,6.017815749379237
21545.71718499707,-4436.295288,-4905.283722,-1860.515526,1.750073184341962,-3.963261883,6.264035173965103
21545.7182605135,-4250.416013,-5246.88566,-1269.564549,2.247044240678257,-3.382450393,6.443608871912249
21545.71933597588,-4019.43361,-5532.781735,-665.130949,2.720204515397787,-2.765690078,6.554611748386796
21545.72041132782,-3745.81732,-5759.930073,-53.68064368,3.164479095397385,-2.119598081,6.595851985889722
21545.72148660868,-3432.46989,-5925.9413,558.3006045014996,3.575145895248012,-1.451054477,6.566902230680106
21545.72256186152,-3082.710234,-6029.070849,1164.325612122954,3.947843729156121,-0.767174274,6.468085069521307
21545.72363717681,-2700.221728,-6068.236053,1757.997461471899,4.278631670004568,-0.075200716,6.300459368837471
21545.72471259669,-2289.045235,-6043.017835,2333.021619882399,4.563997647024869,0.6175122886239571,6.065816252409776
21545.7257881648,-1853.52291,-5953.673327,2883.299950518463,4.800914781838165,1.303610853125515,5.766657209048287
21545.72686394434,-1398.244929,-5801.129117,3403.002311810055,4.986874326830146,1.975831269526489,5.406157291119589
21545.7279398903,-928.0571143,-5586.99456,3886.568278903791,5.119892394038097,2.62699889343054,4.98817582904783
21545.7290158281,-448.0254134,-5313.580424,4328.776726340629,5.19855414418334,3.250104542472928,4.517248907644798
21545.73009173401,36.74456846376998,-4983.812892,4724.928169069555,5.222058083069525,3.838550835727012,3.998422201370956
21545.73116759123,521.1032913768913,-4601.214859,5070.821253178572,5.190190246827149,4.386128540889528,3.437235255357996
21545.73224335361,999.896296656948,-4169.880476,5362.785917279665,5.103324197745398,4.887061602406766,2.839678840573396
21545.73331902497,1468.054482360498,-3694.399638,5597.744132204849,4.962408050767747,5.33610201207535,2.21208650951688
