Rhaegal.A1ModJulian,Rhaegal.EarthMJ2000Eq.X,Rhaegal.EarthMJ2000Eq.Y,Rhaegal.EarthMJ2000Eq.Z,Rhaegal.EarthMJ2000Eq.VX,Rhaegal.EarthMJ2000Eq.VY,Rhaegal.EarthMJ2000Eq.VZ
21545.27889701681,-4913.624135,-3361.425918,3412.069537472011,4.134632694986607,-6.395243102,-0.36369329
21545.27997184131,-4504.232053,-3936.40445,3360.172996968303,4.674530894605901,-5.976876369,-0.753018022
21545.28104644954,-4047.053773,-4469.433266,3272.476596568503,5.164854334598798,-5.494888828,-1.134398395
21545.28212081107,-3546.971458,-4954.842045,3149.925395368168,5.600376690420804,-4.954395794,-1.503763915
21545.28319490973,-3009.318631,-5387.478171,2993.836736694875,5.976458354691847,-4.361134565,-1.857174278
21545.28426875697,-2439.813214,-5762.763189,2805.881434509051,6.289097182515767,-3.721393388,-2.190864841
21545.28534234194,-1844.521247,-6076.721131,2588.072900212676,6.534954796496677,-3.041973464,-2.501270617
21545.28641567079,-1229.772135,-6326.035496,2342.739359190474,6.711406564290259,-2.330095523,-2.785077427
21545.28748874699,-602.1013287,-6508.077129,2072.502100411671,6.816565442909876,-1.593335045,-3.039251891
21545.28856157724,31.82256928483737,-6620.933803,1780.246230204603,6.849305630193546,-0.83953802,-3.26107662
21545.28963419394,665.2822879,-6663.429996,1469.082842816464,6.809274475927026,-0.076720479,-3.448183786
21545.29070661281,1291.55807103612,-6635.133658,1142.327144844745,6.696895706115716,0.6869880812284309,-3.598572303
21545.29177885736,1904.013199816373,-6536.36337,803.4566356109991,6.513367374360251,1.443449684647344,-3.710635469
21545.29285096723,2496.168433007269,-6368.180932,456.0709608158252,6.26064557209799,2.1846119818915,-3.783178333
21545.29392298471,3061.761650883799,-6132.378418,103.8577944792546,5.941423642817544,2.902585549690708,-3.815428185
21545.29499493952,3594.805716027063,-5831.463291,-249.4409027,5.559108844313326,3.589719473313256,-3.807043236
21545.29606686758,4089.661737470553,-5468.628771,-600.0744809,5.117780925165591,4.238697551878101,-3.758117651
21545.29713883295,4541.106007645823,-5047.709054,-944.3300849,4.622135159588657,4.842628559725214,-3.669176996
21545.29821086137,4944.354821905171,-4573.1629,-1278.549976,4.077459756593186,5.395081121633893,-3.541176155
21545.29928299087,5295.138373852553,-4050.010306,-1599.186589,3.489557778567096,5.890183741534408,-3.375486592
21545.30035524314,5589.735274523716,-3483.79241,-1902.831205,2.864698121257617,6.322673164042836,-3.173884383
21545.30142766596,5825.02386361889,-2880.491458,-2186.262012,2.209522940805813,6.687967566019689,-2.938522729
21545.30250028397,5998.500720807604,-2246.493449,-2446.463851,1.531003803244865,6.982193450149479,-2.671916739
21545.30357310878,6108.313871174811,-1588.518039,-2680.664326,0.8363624037819535,7.202233945875842,-2.376915922
21545.30464616939,6153.286178667438,-913.5293725,-2886.370049,0.132973448057289,7.345767064944135,-2.056664803
21545.3057194693,6132.924210436762,-228.6890588,-3061.384048,-0.571686305,7.41128029219509,-1.714580684
21545.30679301839,6047.427291957094,458.7388305924734,-3203.836239,-1.270137879,7.398091460361006,-1.35430811
21545.30786682389,5897.684685163965,1141.4589117696,-3312.201364,-1.954972962,7.306352004007689,-0.979682324
21545.30894087267,5685.27075301873,1812.210554527893,-3385.314497,-2.618920598,7.137047243664311,-0.594695046
21545.31001516123,5412.425450369841,2463.864157718143,-3422.387216,-3.254942552,6.891983171312413,-0.203441947
21545.31108967048,5082.036100832188,3089.481688659726,-3423.014735,-3.856291522,6.573770558995251,0.1899116393510519
21545.31216438125,4697.604730250347,3682.400840512815,-3387.182028,-4.416591537,6.185795226259176,0.5811800892069131
21545.31323927968,4263.208270859513,4236.309008857352,-3315.263527,-4.929906815,5.73217893402138,0.9662035070185196
21545.31431434375,3783.460192334545,4745.303536564072,-3208.019815,-5.390796716,5.217740795068672,1.340886498877193
21545.31538955401,3263.457580269984,5203.960875764204,-3066.58927,-5.794378182,4.647942749661984,1.701245075606873
21545.31646489577,2708.725079191157,5607.394850531093,-2892.475135,-6.136376846,4.028830235357311,2.043449058323465
21545.31754034946,2125.160748541825,5951.30484396291,-2687.530819,-6.413168411,3.366974141740219,2.363859151329911
21545.31861588786,1518.975402143802,6232.022671280545,-2453.941487,-6.621818228,2.669404841348214,2.659065224867334
21545.31969149713,896.6144618509583,6446.557994825059,-2194.196314,-6.760117457,1.943524843367216,2.925928607535796
21545.3207671611,264.6974607488198,6592.624805228572,-1911.064605,-6.826602401,1.197040213223733,3.161610689090943
21545.32184286114,-370.0524778,6668.666849699402,-1607.566503,-6.82057169,0.4378794770615467,3.363603782192196
21545.32291860374,-1000.896672,6673.874549171444,-1286.932433,-6.742092522,-0.32591011,3.529762480953836
21545.32399428386,-1621.073854,6608.198423678528,-952.6101286,-6.592015995,-1.086151873,3.65830873947064
21545.32506988204,-2223.989823,6472.354833347187,-608.1691557,-6.371958327,-1.83476869,3.747884212449871
21545.32614536185,-2803.228905,6267.812873892779,-257.2913134,-6.084286207,-2.563798759,3.797547092183672
21545.32722070641,-3352.643336,5996.773054245635,96.28096752072625,-5.732083146,-3.265507052,3.806785040155491
21545.32829596975,-3866.440228,5662.119529907505,448.8021234304775,-5.319088696,-3.932497415,3.775514377345173
21545.32937121352,-4339.20283,5267.393973427629,796.5415689864545,-4.849668488,-4.557742135,3.704072735865657
21545.33044649201,-4765.93793,4816.764081044941,1135.816604278103,-4.328775121,-5.134643777,3.593215719704157
21545.33152186942,-5142.133458,4314.974817007625,1463.03517110761,-3.76188984,-5.657111442,3.444107602442668
21545.33259739107,-5463.793855,3767.313666222201,1774.723482733331,-3.154981596,-6.11960799,3.258313062745023
21545.33367311165,-5727.491816,3179.545359342247,2067.570220686093,-2.51443261,-6.517220858,3.037778118861926
21545.33474896784,-5930.380705,2557.927519008621,2338.428869393634,-1.847052728,-6.845674251,2.78484066327513
21545.3358248232,-6070.263473,1909.134158408745,2584.373706485335,-1.159991657,-7.101421844,2.502210431717945
21545.33690064615,-6145.646439,1240.076158691393,2802.775743610889,-0.460547406,-7.281734757,2.192894548310362
21545.33797643016,-6155.726221,557.8660601468406,2991.305667333769,0.2438673615874525,-7.384689418,1.860176853585963
21545.33905213832,-6100.395197,-130.2237062,3147.94800116491,0.9457678336133748,-7.409178905,1.507599022007397
21545.34012775405,-5980.24456,-816.8705067,3271.032276347165,1.637708946592951,-7.354930733,1.138907886950133
21545.34120326227,-5796.555625,-1494.767959,3359.246544646681,2.312350992052161,-7.22250506,0.7580211648370101
21545.34227862839,-5551.291126,-2156.690954,3411.650484664109,2.962523682311889,-7.013293212,0.368994040591427
21545.34335383867,-5247.067196,-2795.598272,3427.688706368168,3.581326524680323,-6.729498356,-0.024037644
21545.34442886481,-4887.132578,-3404.68614,3407.194539519924,4.162179823647582,-6.374118934,-0.416888198
21545.34550368279,-4475.329991,-3977.472994,3350.393057752707,4.69890590553173,-5.950915117,-0.80537293
21545.34657827428,-4016.053321,-4507.869195,3257.89789844029,5.185794821022573,-5.464368563,-1.18535285
21545.34765262948,-3514.19807,-4990.242559,3130.70347538256,5.617665453947478,-4.919633641,-1.552779312
21545.34872672118,-2975.121017,-5419.467113,2970.177383327279,5.989911195279946,-4.32249765,-1.903728332
21545.34980055822,-2404.556563,-5790.999832,2778.038125002834,6.298569456858708,-3.679292008,-2.23446027
21545.35087412715,-1808.583631,-6100.904518,2556.344484441162,6.540343845015248,-2.996857378,-2.541440777
21545.3519474267,-1193.54336,-6345.907353,2307.468216840483,6.712653042145681,-2.282452743,-2.821390444
21545.35302048328,-565.9610824,-6523.430664,2034.063050485953,6.813658046792966,-1.543666021,-3.071322944
21545.35409329956,67.49359812901187,-6631.608247,1739.048219791134,6.842275496040346,-0.788367716,-3.288564464
21545.35516590024,700.1040448934763,-6669.313231,1425.566024924632,6.798196300713991,-0.024595775,-3.470794305
21545.35623830387,1325.161339952296,-6636.16485,1096.95545339535,6.681887784901665,0.739511590882498,-3.616064126
21545.35731054295,1936.046921160604,-6532.532063,756.7106814197751,6.494588414726599,1.495818105108049,-3.722822764
21545.35838265247,2526.295327646535,-6359.527411,408.4471252696134,6.238294419342271,2.23626933757125,-3.789930897
21545.35945466923,3089.661575866663,-6118.99473,55.86347022016123,5.915738713213685,2.95297945089078,-3.816673554
21545.36052662672,3620.1841311531,-5813.490768,-297.2956832,5.53036332024261,3.63831356736529,-3.802768109
21545.3615985744,4112.256584241352,-5446.251999,-647.2855898,5.086274591993599,4.284982607106402,-3.748366752
21545.36267054576,4560.670588702338,-5021.169598,-990.3902453,4.588209932015586,4.886101809332948,-3.654055105
21545.36374258035,4960.681315168312,-4542.742298,-1322.968703,4.041478156635333,5.435279038162868,-3.520845279
21545.36481471802,5308.05393831753,-4016.030404,-1641.491373,3.451903138909042,5.926679197180995,-3.350164172
21545.36588699351,5599.10626450301,-3446.605525,-1942.575479,2.825763349061608,6.355083724934971,-3.143838332
21545.36695943148,5830.747409645725,-2840.495833,-2223.019684,2.169727311579143,6.71594503468908,-2.904075333
21545.3680320629,6000.514848425105,-2204.114184,-2479.842445,1.490771804382693,7.005440384414445,-2.633436134
21545.36910493181,6106.59852953996,-1544.185529,-2710.313917,0.7961014687939376,7.220509349563438,-2.334803738
